"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1982","creates todo with completed status set to true @smoke","chromium","Fri May 29 06:40:23 UTC 2026","passed","Fri May 29 06:40:25 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2048","accepts unicode characters in title @smoke","chromium","Fri May 29 06:40:21 UTC 2026","passed","Fri May 29 06:40:23 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1583","fails when title is empty string @smoke","webkit","Fri May 29 06:41:04 UTC 2026","passed","Fri May 29 06:41:05 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","42","fails without auth token @smoke","webkit","Fri May 29 06:41:10 UTC 2026","passed","Fri May 29 06:41:10 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2607","creates todo with valid data @smoke","chromium","Fri May 29 06:40:06 UTC 2026","passed","Fri May 29 06:40:09 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1982","accepts unicode characters in title @smoke","webkit","Fri May 29 06:41:14 UTC 2026","passed","Fri May 29 06:41:16 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","43","fails with invalid/expired token @smoke","chromium","Fri May 29 06:40:17 UTC 2026","passed","Fri May 29 06:40:17 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1988","creates todo with completed status set to true @smoke","firefox","Fri May 29 06:40:51 UTC 2026","passed","Fri May 29 06:40:53 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","3179","returns list of all user todos @smoke","chromium","Fri May 29 06:40:25 UTC 2026","passed","Fri May 29 06:40:28 UTC 2026","Todos API > GET /api/todos","api/todos.spec.ts","",""
"","41","fails with invalid/expired token @smoke","firefox","Fri May 29 06:40:44 UTC 2026","passed","Fri May 29 06:40:44 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2566","updates todo and reflect changes in full list @smoke","webkit","Fri May 29 06:41:20 UTC 2026","passed","Fri May 29 06:41:23 UTC 2026","Todos API > PUT /api/todos/:id","api/todos.spec.ts","",""
"","2124","creates todo with valid data @smoke","firefox","Fri May 29 06:40:34 UTC 2026","passed","Fri May 29 06:40:36 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","44","fails with invalid/expired token @smoke","webkit","Fri May 29 06:41:10 UTC 2026","passed","Fri May 29 06:41:10 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2203","returns list of all user todos @smoke","firefox","Fri May 29 06:40:53 UTC 2026","passed","Fri May 29 06:40:55 UTC 2026","Todos API > GET /api/todos","api/todos.spec.ts","",""
"","1975","accepts very long title @smoke","webkit","Fri May 29 06:41:10 UTC 2026","passed","Fri May 29 06:41:12 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2086","accepts unicode characters in title @smoke","firefox","Fri May 29 06:40:48 UTC 2026","passed","Fri May 29 06:40:51 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1575","fails when payload is empty @smoke","webkit","Fri May 29 06:41:08 UTC 2026","passed","Fri May 29 06:41:10 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2037","accepts special characters in title @smoke","chromium","Fri May 29 06:40:19 UTC 2026","passed","Fri May 29 06:40:21 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1583","fails when whitespace-only title is sent @smoke","chromium","Fri May 29 06:40:14 UTC 2026","passed","Fri May 29 06:40:15 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1590","fails when payload is empty @smoke","chromium","Fri May 29 06:40:15 UTC 2026","passed","Fri May 29 06:40:17 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1559","fails when title is missing @smoke","chromium","Fri May 29 06:40:09 UTC 2026","passed","Fri May 29 06:40:11 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1505","fails when whitespace-only title is sent @smoke","webkit","Fri May 29 06:41:07 UTC 2026","passed","Fri May 29 06:41:08 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1669","fails when title is empty string @smoke","firefox","Fri May 29 06:40:38 UTC 2026","passed","Fri May 29 06:40:40 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","41","fails without auth token @smoke","firefox","Fri May 29 06:40:44 UTC 2026","passed","Fri May 29 06:40:44 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1492","fails when title is empty string @smoke","chromium","Fri May 29 06:40:11 UTC 2026","passed","Fri May 29 06:40:12 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1501","fails when title is null @smoke","chromium","Fri May 29 06:40:12 UTC 2026","passed","Fri May 29 06:40:14 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","41","fails without auth token @smoke","chromium","Fri May 29 06:40:17 UTC 2026","passed","Fri May 29 06:40:17 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2237","removes specific todo of a user @smoke","webkit","Fri May 29 06:41:23 UTC 2026","passed","Fri May 29 06:41:25 UTC 2026","Todos API > DELETE /api/todos/:id","api/todos.spec.ts","",""
"","2150","returns list of all user todos @smoke","webkit","Fri May 29 06:41:18 UTC 2026","passed","Fri May 29 06:41:20 UTC 2026","Todos API > GET /api/todos","api/todos.spec.ts","",""
"","2524","updates todo and reflect changes in full list @smoke","chromium","Fri May 29 06:40:28 UTC 2026","passed","Fri May 29 06:40:31 UTC 2026","Todos API > PUT /api/todos/:id","api/todos.spec.ts","",""
"","2081","fails when title is missing @smoke","firefox","Fri May 29 06:40:36 UTC 2026","passed","Fri May 29 06:40:38 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1969","accepts very long title @smoke","firefox","Fri May 29 06:40:44 UTC 2026","passed","Fri May 29 06:40:46 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2250","removes specific todo of a user @smoke","chromium","Fri May 29 06:40:31 UTC 2026","passed","Fri May 29 06:40:33 UTC 2026","Todos API > DELETE /api/todos/:id","api/todos.spec.ts","",""
"","2507","updates todo and reflect changes in full list @smoke","firefox","Fri May 29 06:40:55 UTC 2026","passed","Fri May 29 06:40:57 UTC 2026","Todos API > PUT /api/todos/:id","api/todos.spec.ts","",""
"","1985","accepts special characters in title @smoke","webkit","Fri May 29 06:41:12 UTC 2026","passed","Fri May 29 06:41:14 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1482","fails when title is null @smoke","webkit","Fri May 29 06:41:05 UTC 2026","passed","Fri May 29 06:41:07 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1509","fails when whitespace-only title is sent @smoke","firefox","Fri May 29 06:40:41 UTC 2026","passed","Fri May 29 06:40:43 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1489","fails when title is null @smoke","firefox","Fri May 29 06:40:40 UTC 2026","passed","Fri May 29 06:40:41 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1536","fails when title is missing @smoke","webkit","Fri May 29 06:41:02 UTC 2026","passed","Fri May 29 06:41:04 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1592","fails when payload is empty @smoke","firefox","Fri May 29 06:40:43 UTC 2026","passed","Fri May 29 06:40:44 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
