"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2460","creates todo with valid data @smoke","firefox","Wed May 20 12:16:53 UTC 2026","passed","Wed May 20 12:16:55 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2087","accepts unicode characters in title @smoke","webkit","Wed May 20 12:17:34 UTC 2026","passed","Wed May 20 12:17:37 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1585","fails when whitespace-only title is sent @smoke","chromium","Wed May 20 12:16:31 UTC 2026","passed","Wed May 20 12:16:33 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2072","accepts unicode characters in title @smoke","firefox","Wed May 20 12:17:07 UTC 2026","passed","Wed May 20 12:17:09 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2186","accepts very long title @smoke","chromium","Wed May 20 12:16:35 UTC 2026","passed","Wed May 20 12:16:37 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2165","creates todo with valid data @smoke","webkit","Wed May 20 12:17:20 UTC 2026","passed","Wed May 20 12:17:22 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2089","accepts unicode characters in title @smoke","chromium","Wed May 20 12:16:39 UTC 2026","passed","Wed May 20 12:16:41 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2105","accepts special characters in title @smoke","webkit","Wed May 20 12:17:32 UTC 2026","passed","Wed May 20 12:17:34 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2320","returns list of all user todos @smoke","firefox","Wed May 20 12:17:11 UTC 2026","passed","Wed May 20 12:17:14 UTC 2026","Todos API > GET /api/todos","api/todos.spec.ts","",""
"","1971","accepts special characters in title @smoke","firefox","Wed May 20 12:17:05 UTC 2026","passed","Wed May 20 12:17:07 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2182","accepts special characters in title @smoke","chromium","Wed May 20 12:16:37 UTC 2026","passed","Wed May 20 12:16:39 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1588","fails when payload is empty @smoke","webkit","Wed May 20 12:17:29 UTC 2026","passed","Wed May 20 12:17:30 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2118","accepts very long title @smoke","firefox","Wed May 20 12:17:03 UTC 2026","passed","Wed May 20 12:17:05 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2456","removes specific todo of a user @smoke","chromium","Wed May 20 12:16:49 UTC 2026","passed","Wed May 20 12:16:52 UTC 2026","Todos API > DELETE /api/todos/:id","api/todos.spec.ts","",""
"","2077","creates todo with completed status set to true @smoke","chromium","Wed May 20 12:16:41 UTC 2026","passed","Wed May 20 12:16:43 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1584","fails when title is empty string @smoke","webkit","Wed May 20 12:17:24 UTC 2026","passed","Wed May 20 12:17:25 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2675","updates todo and reflect changes in full list @smoke","chromium","Wed May 20 12:16:47 UTC 2026","passed","Wed May 20 12:16:49 UTC 2026","Todos API > PUT /api/todos/:id","api/todos.spec.ts","",""
"","1399","fails when payload is empty @smoke","firefox","Wed May 20 12:17:02 UTC 2026","passed","Wed May 20 12:17:03 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
