"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","94","should return 401 when token is invalid or expired @smoke","firefox","Mon Jun 22 07:55:02 UTC 2026","passed","Mon Jun 22 07:55:02 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","90","should return 401 when token is invalid or expired @smoke","chromium","Mon Jun 22 07:54:31 UTC 2026","passed","Mon Jun 22 07:54:31 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1778","should return 400 when title is null @smoke","firefox","Mon Jun 22 07:54:56 UTC 2026","passed","Mon Jun 22 07:54:58 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1687","should return 400 when payload is empty @smoke","chromium","Mon Jun 22 07:54:29 UTC 2026","passed","Mon Jun 22 07:54:31 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2194","should store and return special characters exactly as sent @smoke","webkit","Mon Jun 22 07:55:35 UTC 2026","passed","Mon Jun 22 07:55:37 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1677","should return 400 when title contains only whitespace @smoke","chromium","Mon Jun 22 07:54:28 UTC 2026","passed","Mon Jun 22 07:54:29 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1667","should return 400 when title is an empty string @smoke","firefox","Mon Jun 22 07:54:55 UTC 2026","passed","Mon Jun 22 07:54:56 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1786","should return 400 when title contains only whitespace @smoke","webkit","Mon Jun 22 07:55:28 UTC 2026","passed","Mon Jun 22 07:55:30 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2407","should create a todo and return all required fields @smoke","webkit","Mon Jun 22 07:55:21 UTC 2026","passed","Mon Jun 22 07:55:23 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","93","should return 401 when Authorization header is missing @smoke","webkit","Mon Jun 22 07:55:32 UTC 2026","passed","Mon Jun 22 07:55:32 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1726","should return 400 when title is missing @smoke","firefox","Mon Jun 22 07:54:53 UTC 2026","passed","Mon Jun 22 07:54:55 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2181","should store and return unicode characters exactly as sent @smoke","chromium","Mon Jun 22 07:54:36 UTC 2026","passed","Mon Jun 22 07:54:38 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","93","should return 401 when token is invalid or expired @smoke","webkit","Mon Jun 22 07:55:32 UTC 2026","passed","Mon Jun 22 07:55:32 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2190","should accept and persist completed: true on creation @smoke","chromium","Mon Jun 22 07:54:38 UTC 2026","passed","Mon Jun 22 07:54:40 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","3282","should create a todo and return all required fields @smoke","chromium","Mon Jun 22 07:54:19 UTC 2026","passed","Mon Jun 22 07:54:22 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1821","should return 400 when title contains only whitespace @smoke","firefox","Mon Jun 22 07:54:58 UTC 2026","passed","Mon Jun 22 07:55:00 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2669","should delete the todo and return 404 on subsequent fetch @smoke","chromium","Mon Jun 22 07:54:47 UTC 2026","passed","Mon Jun 22 07:54:49 UTC 2026","Todos API > DELETE /api/todos/:id","api/todos.spec.ts","",""
"","2582","should return only the authenticated user's todos @smoke","webkit","Mon Jun 22 07:55:41 UTC 2026","passed","Mon Jun 22 07:55:44 UTC 2026","Todos API > GET /api/todos","api/todos.spec.ts","",""
"","2312","should persist a title at maximum length without truncation @smoke","webkit","Mon Jun 22 07:55:32 UTC 2026","passed","Mon Jun 22 07:55:34 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1756","should return 400 when title is an empty string @smoke","webkit","Mon Jun 22 07:55:25 UTC 2026","passed","Mon Jun 22 07:55:27 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2426","should create a todo and return all required fields @smoke","firefox","Mon Jun 22 07:54:50 UTC 2026","passed","Mon Jun 22 07:54:53 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1734","should return 400 when title is missing @smoke","webkit","Mon Jun 22 07:55:23 UTC 2026","passed","Mon Jun 22 07:55:25 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1685","should return 400 when title is missing @smoke","chromium","Mon Jun 22 07:54:22 UTC 2026","passed","Mon Jun 22 07:54:24 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2227","should persist a title at maximum length without truncation @smoke","chromium","Mon Jun 22 07:54:31 UTC 2026","passed","Mon Jun 22 07:54:33 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","92","should return 401 when Authorization header is missing @smoke","chromium","Mon Jun 22 07:54:31 UTC 2026","passed","Mon Jun 22 07:54:31 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2696","should return only the authenticated user's todos @smoke","firefox","Mon Jun 22 07:55:11 UTC 2026","passed","Mon Jun 22 07:55:14 UTC 2026","Todos API > GET /api/todos","api/todos.spec.ts","",""
"","2277","should accept and persist completed: true on creation @smoke","webkit","Mon Jun 22 07:55:39 UTC 2026","passed","Mon Jun 22 07:55:41 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1963","should return 400 when payload is empty @smoke","firefox","Mon Jun 22 07:55:00 UTC 2026","passed","Mon Jun 22 07:55:02 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1776","should return 400 when title is null @smoke","webkit","Mon Jun 22 07:55:27 UTC 2026","passed","Mon Jun 22 07:55:28 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1682","should return 400 when title is an empty string @smoke","chromium","Mon Jun 22 07:54:24 UTC 2026","passed","Mon Jun 22 07:54:26 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2283","should store and return special characters exactly as sent @smoke","chromium","Mon Jun 22 07:54:33 UTC 2026","passed","Mon Jun 22 07:54:36 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","3575","should return only the authenticated user's todos @smoke","chromium","Mon Jun 22 07:54:40 UTC 2026","passed","Mon Jun 22 07:54:44 UTC 2026","Todos API > GET /api/todos","api/todos.spec.ts","",""
"","94","should return 401 when Authorization header is missing @smoke","firefox","Mon Jun 22 07:55:02 UTC 2026","passed","Mon Jun 22 07:55:02 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2755","should delete the todo and return 404 on subsequent fetch @smoke","webkit","Mon Jun 22 07:55:47 UTC 2026","passed","Mon Jun 22 07:55:50 UTC 2026","Todos API > DELETE /api/todos/:id","api/todos.spec.ts","",""
"","2761","should delete the todo and return 404 on subsequent fetch @smoke","firefox","Mon Jun 22 07:55:17 UTC 2026","passed","Mon Jun 22 07:55:20 UTC 2026","Todos API > DELETE /api/todos/:id","api/todos.spec.ts","",""
"","2919","should persist updated fields in both response and full list @smoke","firefox","Mon Jun 22 07:55:14 UTC 2026","passed","Mon Jun 22 07:55:17 UTC 2026","Todos API > PUT /api/todos/:id","api/todos.spec.ts","",""
"","1686","should return 400 when title is null @smoke","chromium","Mon Jun 22 07:54:26 UTC 2026","passed","Mon Jun 22 07:54:28 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2994","should persist updated fields in both response and full list @smoke","chromium","Mon Jun 22 07:54:44 UTC 2026","passed","Mon Jun 22 07:54:47 UTC 2026","Todos API > PUT /api/todos/:id","api/todos.spec.ts","",""
"","2282","should store and return unicode characters exactly as sent @smoke","firefox","Mon Jun 22 07:55:07 UTC 2026","passed","Mon Jun 22 07:55:09 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2293","should accept and persist completed: true on creation @smoke","firefox","Mon Jun 22 07:55:09 UTC 2026","passed","Mon Jun 22 07:55:11 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2919","should persist updated fields in both response and full list @smoke","webkit","Mon Jun 22 07:55:44 UTC 2026","passed","Mon Jun 22 07:55:47 UTC 2026","Todos API > PUT /api/todos/:id","api/todos.spec.ts","",""
