"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1782","should return 400 when title is an empty string @smoke","webkit","Tue Jun 09 08:20:08 UTC 2026","passed","Tue Jun 09 08:20:10 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","85","should return 401 when Authorization header is missing @smoke","webkit","Tue Jun 09 08:20:15 UTC 2026","passed","Tue Jun 09 08:20:15 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2178","should return 400 when title contains only whitespace @smoke","chromium","Tue Jun 09 08:19:11 UTC 2026","passed","Tue Jun 09 08:19:13 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","83","should return 401 when Authorization header is missing @smoke","firefox","Tue Jun 09 08:19:45 UTC 2026","passed","Tue Jun 09 08:19:45 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2266","should accept and persist completed: true on creation @smoke","firefox","Tue Jun 09 08:19:52 UTC 2026","passed","Tue Jun 09 08:19:54 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2693","should delete the todo and return 404 on subsequent fetch @smoke","webkit","Tue Jun 09 08:20:29 UTC 2026","passed","Tue Jun 09 08:20:32 UTC 2026","Todos API > DELETE /api/todos/:id","api/todos.spec.ts","",""
"","2722","should delete the todo and return 404 on subsequent fetch @smoke","firefox","Tue Jun 09 08:20:00 UTC 2026","passed","Tue Jun 09 08:20:03 UTC 2026","Todos API > DELETE /api/todos/:id","api/todos.spec.ts","",""
"","2322","should create a todo and return all required fields @smoke","webkit","Tue Jun 09 08:20:04 UTC 2026","passed","Tue Jun 09 08:20:06 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2210","should persist a title at maximum length without truncation @smoke","webkit","Tue Jun 09 08:20:15 UTC 2026","passed","Tue Jun 09 08:20:17 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1829","should return 400 when title is missing @smoke","firefox","Tue Jun 09 08:19:37 UTC 2026","passed","Tue Jun 09 08:19:38 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","3317","should create a todo and return all required fields @smoke","chromium","Tue Jun 09 08:19:03 UTC 2026","passed","Tue Jun 09 08:19:06 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2296","should store and return unicode characters exactly as sent @smoke","chromium","Tue Jun 09 08:19:20 UTC 2026","passed","Tue Jun 09 08:19:22 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1803","should return 400 when title contains only whitespace @smoke","webkit","Tue Jun 09 08:20:11 UTC 2026","passed","Tue Jun 09 08:20:13 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2206","should accept and persist completed: true on creation @smoke","chromium","Tue Jun 09 08:19:22 UTC 2026","passed","Tue Jun 09 08:19:24 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2278","should store and return special characters exactly as sent @smoke","chromium","Tue Jun 09 08:19:17 UTC 2026","passed","Tue Jun 09 08:19:20 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1679","should return 400 when title is an empty string @smoke","chromium","Tue Jun 09 08:19:08 UTC 2026","passed","Tue Jun 09 08:19:09 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1667","should return 400 when payload is empty @smoke","firefox","Tue Jun 09 08:19:44 UTC 2026","passed","Tue Jun 09 08:19:45 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2620","should delete the todo and return 404 on subsequent fetch @smoke","chromium","Tue Jun 09 08:19:31 UTC 2026","passed","Tue Jun 09 08:19:33 UTC 2026","Todos API > DELETE /api/todos/:id","api/todos.spec.ts","",""
"","2312","should store and return special characters exactly as sent @smoke","webkit","Tue Jun 09 08:20:17 UTC 2026","passed","Tue Jun 09 08:20:20 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2162","should store and return unicode characters exactly as sent @smoke","webkit","Tue Jun 09 08:20:20 UTC 2026","passed","Tue Jun 09 08:20:22 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1802","should return 400 when title is null @smoke","chromium","Tue Jun 09 08:19:09 UTC 2026","passed","Tue Jun 09 08:19:11 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2850","should persist updated fields in both response and full list @smoke","chromium","Tue Jun 09 08:19:28 UTC 2026","passed","Tue Jun 09 08:19:31 UTC 2026","Todos API > PUT /api/todos/:id","api/todos.spec.ts","",""
"","2657","should return only the authenticated user's todos @smoke","firefox","Tue Jun 09 08:19:54 UTC 2026","passed","Tue Jun 09 08:19:57 UTC 2026","Todos API > GET /api/todos","api/todos.spec.ts","",""
"","2230","should store and return unicode characters exactly as sent @smoke","firefox","Tue Jun 09 08:19:50 UTC 2026","passed","Tue Jun 09 08:19:52 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1667","should return 400 when payload is empty @smoke","webkit","Tue Jun 09 08:20:13 UTC 2026","passed","Tue Jun 09 08:20:15 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","91","should return 401 when token is invalid or expired @smoke","firefox","Tue Jun 09 08:19:45 UTC 2026","passed","Tue Jun 09 08:19:45 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1687","should return 400 when title is null @smoke","firefox","Tue Jun 09 08:19:40 UTC 2026","passed","Tue Jun 09 08:19:42 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1691","should return 400 when title is missing @smoke","chromium","Tue Jun 09 08:19:06 UTC 2026","passed","Tue Jun 09 08:19:08 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2187","should accept and persist completed: true on creation @smoke","webkit","Tue Jun 09 08:20:22 UTC 2026","passed","Tue Jun 09 08:20:24 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2904","should persist updated fields in both response and full list @smoke","webkit","Tue Jun 09 08:20:26 UTC 2026","passed","Tue Jun 09 08:20:29 UTC 2026","Todos API > PUT /api/todos/:id","api/todos.spec.ts","",""
"","3429","should return only the authenticated user's todos @smoke","chromium","Tue Jun 09 08:19:24 UTC 2026","passed","Tue Jun 09 08:19:28 UTC 2026","Todos API > GET /api/todos","api/todos.spec.ts","",""
"","86","should return 401 when token is invalid or expired @smoke","webkit","Tue Jun 09 08:20:15 UTC 2026","passed","Tue Jun 09 08:20:15 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2848","should persist updated fields in both response and full list @smoke","firefox","Tue Jun 09 08:19:57 UTC 2026","passed","Tue Jun 09 08:20:00 UTC 2026","Todos API > PUT /api/todos/:id","api/todos.spec.ts","",""
