"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2829","updates todo and reflect changes in full list @smoke","webkit","Sun May 24 09:31:35 UTC 2026","passed","Sun May 24 09:31:38 UTC 2026","Todos API > PUT /api/todos/:id","api/todos.spec.ts","",""
"","1710","fails when payload is empty @smoke","firefox","Sun May 24 09:30:53 UTC 2026","passed","Sun May 24 09:30:55 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1875","fails when whitespace-only title is sent @smoke","firefox","Sun May 24 09:30:51 UTC 2026","passed","Sun May 24 09:30:53 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1683","fails when whitespace-only title is sent @smoke","webkit","Sun May 24 09:31:20 UTC 2026","passed","Sun May 24 09:31:22 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1702","fails when title is missing @smoke","firefox","Sun May 24 09:30:46 UTC 2026","passed","Sun May 24 09:30:48 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2266","accepts unicode characters in title @smoke","chromium","Sun May 24 09:30:29 UTC 2026","passed","Sun May 24 09:30:31 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1672","fails when title is empty string @smoke","webkit","Sun May 24 09:31:17 UTC 2026","passed","Sun May 24 09:31:18 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1592","fails when title is empty string @smoke","firefox","Sun May 24 09:30:48 UTC 2026","passed","Sun May 24 09:30:49 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1676","fails when title is null @smoke","firefox","Sun May 24 09:30:49 UTC 2026","passed","Sun May 24 09:30:51 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1593","fails when title is null @smoke","webkit","Sun May 24 09:31:18 UTC 2026","passed","Sun May 24 09:31:20 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2492","returns list of all user todos @smoke","webkit","Sun May 24 09:31:32 UTC 2026","passed","Sun May 24 09:31:35 UTC 2026","Todos API > GET /api/todos","api/todos.spec.ts","",""
"","2305","accepts special characters in title @smoke","chromium","Sun May 24 09:30:26 UTC 2026","passed","Sun May 24 09:30:29 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2541","removes specific todo of a user @smoke","chromium","Sun May 24 09:30:40 UTC 2026","passed","Sun May 24 09:30:43 UTC 2026","Todos API > DELETE /api/todos/:id","api/todos.spec.ts","",""
"","2278","creates todo with completed status set to true @smoke","chromium","Sun May 24 09:30:31 UTC 2026","passed","Sun May 24 09:30:33 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2100","accepts unicode characters in title @smoke","firefox","Sun May 24 09:30:59 UTC 2026","passed","Sun May 24 09:31:01 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2538","accepts very long title @smoke","chromium","Sun May 24 09:30:24 UTC 2026","passed","Sun May 24 09:30:26 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1675","fails when payload is empty @smoke","webkit","Sun May 24 09:31:22 UTC 2026","passed","Sun May 24 09:31:23 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2477","returns list of all user todos @smoke","firefox","Sun May 24 09:31:04 UTC 2026","passed","Sun May 24 09:31:06 UTC 2026","Todos API > GET /api/todos","api/todos.spec.ts","",""
"","1723","fails when title is missing @smoke","webkit","Sun May 24 09:31:15 UTC 2026","passed","Sun May 24 09:31:17 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
