"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1925","should return 400 when title is an empty string @smoke","firefox","Sun Jun 14 10:29:13 UTC 2026","passed","Sun Jun 14 10:29:15 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2242","should persist a title at maximum length without truncation @smoke","chromium","Sun Jun 14 10:28:49 UTC 2026","passed","Sun Jun 14 10:28:51 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","88","should return 401 when token is invalid or expired @smoke","chromium","Sun Jun 14 10:28:49 UTC 2026","passed","Sun Jun 14 10:28:49 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1796","should return 400 when payload is empty @smoke","chromium","Sun Jun 14 10:28:47 UTC 2026","passed","Sun Jun 14 10:28:49 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1715","should return 400 when title is missing @smoke","firefox","Sun Jun 14 10:29:11 UTC 2026","passed","Sun Jun 14 10:29:13 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2507","should create a todo and return all required fields @smoke","firefox","Sun Jun 14 10:29:09 UTC 2026","passed","Sun Jun 14 10:29:11 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1673","should return 400 when title is null @smoke","webkit","Sun Jun 14 10:29:46 UTC 2026","passed","Sun Jun 14 10:29:47 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","3166","should create a todo and return all required fields @smoke","chromium","Sun Jun 14 10:28:36 UTC 2026","passed","Sun Jun 14 10:28:39 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2713","should delete the todo and return 404 on subsequent fetch @smoke","chromium","Sun Jun 14 10:29:05 UTC 2026","passed","Sun Jun 14 10:29:08 UTC 2026","Todos API > DELETE /api/todos/:id","api/todos.spec.ts","",""
"","95","should return 401 when token is invalid or expired @smoke","webkit","Sun Jun 14 10:29:51 UTC 2026","passed","Sun Jun 14 10:29:51 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2412","should store and return special characters exactly as sent @smoke","chromium","Sun Jun 14 10:28:51 UTC 2026","passed","Sun Jun 14 10:28:53 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2406","should store and return unicode characters exactly as sent @smoke","firefox","Sun Jun 14 10:29:25 UTC 2026","passed","Sun Jun 14 10:29:28 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","89","should return 401 when Authorization header is missing @smoke","chromium","Sun Jun 14 10:28:49 UTC 2026","passed","Sun Jun 14 10:28:49 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1789","should return 400 when title is null @smoke","chromium","Sun Jun 14 10:28:43 UTC 2026","passed","Sun Jun 14 10:28:45 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1758","should return 400 when title is an empty string @smoke","chromium","Sun Jun 14 10:28:41 UTC 2026","passed","Sun Jun 14 10:28:43 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1809","should return 400 when title is an empty string @smoke","webkit","Sun Jun 14 10:29:44 UTC 2026","passed","Sun Jun 14 10:29:46 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1767","should return 400 when title is null @smoke","firefox","Sun Jun 14 10:29:15 UTC 2026","passed","Sun Jun 14 10:29:17 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2497","should create a todo and return all required fields @smoke","webkit","Sun Jun 14 10:29:39 UTC 2026","passed","Sun Jun 14 10:29:42 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1698","should return 400 when payload is empty @smoke","webkit","Sun Jun 14 10:29:49 UTC 2026","passed","Sun Jun 14 10:29:51 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2892","should delete the todo and return 404 on subsequent fetch @smoke","webkit","Sun Jun 14 10:30:05 UTC 2026","passed","Sun Jun 14 10:30:08 UTC 2026","Todos API > DELETE /api/todos/:id","api/todos.spec.ts","",""
"","2735","should delete the todo and return 404 on subsequent fetch @smoke","firefox","Sun Jun 14 10:29:36 UTC 2026","passed","Sun Jun 14 10:29:38 UTC 2026","Todos API > DELETE /api/todos/:id","api/todos.spec.ts","",""
"","2298","should persist a title at maximum length without truncation @smoke","firefox","Sun Jun 14 10:29:20 UTC 2026","passed","Sun Jun 14 10:29:23 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","3057","should persist updated fields in both response and full list @smoke","chromium","Sun Jun 14 10:29:02 UTC 2026","passed","Sun Jun 14 10:29:05 UTC 2026","Todos API > PUT /api/todos/:id","api/todos.spec.ts","",""
"","3051","should persist updated fields in both response and full list @smoke","webkit","Sun Jun 14 10:30:02 UTC 2026","passed","Sun Jun 14 10:30:05 UTC 2026","Todos API > PUT /api/todos/:id","api/todos.spec.ts","",""
"","2193","should accept and persist completed: true on creation @smoke","webkit","Sun Jun 14 10:29:57 UTC 2026","passed","Sun Jun 14 10:30:00 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1751","should return 400 when title contains only whitespace @smoke","firefox","Sun Jun 14 10:29:17 UTC 2026","passed","Sun Jun 14 10:29:18 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","129","should return 401 when Authorization header is missing @smoke","firefox","Sun Jun 14 10:29:20 UTC 2026","passed","Sun Jun 14 10:29:20 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2226","should persist a title at maximum length without truncation @smoke","webkit","Sun Jun 14 10:29:51 UTC 2026","passed","Sun Jun 14 10:29:53 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2770","should return only the authenticated user's todos @smoke","firefox","Sun Jun 14 10:29:30 UTC 2026","passed","Sun Jun 14 10:29:33 UTC 2026","Todos API > GET /api/todos","api/todos.spec.ts","",""
"","2545","should return only the authenticated user's todos @smoke","webkit","Sun Jun 14 10:30:00 UTC 2026","passed","Sun Jun 14 10:30:02 UTC 2026","Todos API > GET /api/todos","api/todos.spec.ts","",""
"","1682","should return 400 when title contains only whitespace @smoke","webkit","Sun Jun 14 10:29:47 UTC 2026","passed","Sun Jun 14 10:29:49 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","3042","should persist updated fields in both response and full list @smoke","firefox","Sun Jun 14 10:29:33 UTC 2026","passed","Sun Jun 14 10:29:36 UTC 2026","Todos API > PUT /api/todos/:id","api/todos.spec.ts","",""
"","2279","should accept and persist completed: true on creation @smoke","firefox","Sun Jun 14 10:29:28 UTC 2026","passed","Sun Jun 14 10:29:30 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
