"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2103","fails when payload is empty @smoke","chromium","Thu May 28 14:22:16 UTC 2026","passed","Thu May 28 14:22:19 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2235","accepts special characters in title @smoke","chromium","Thu May 28 14:22:21 UTC 2026","passed","Thu May 28 14:22:23 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2132","creates todo with valid data @smoke","firefox","Thu May 28 14:22:36 UTC 2026","passed","Thu May 28 14:22:38 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2024","accepts very long title @smoke","chromium","Thu May 28 14:22:19 UTC 2026","passed","Thu May 28 14:22:21 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1548","fails when payload is empty @smoke","firefox","Thu May 28 14:22:45 UTC 2026","passed","Thu May 28 14:22:46 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2174","accepts very long title @smoke","webkit","Thu May 28 14:23:13 UTC 2026","passed","Thu May 28 14:23:15 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1576","fails when title is null @smoke","webkit","Thu May 28 14:23:08 UTC 2026","passed","Thu May 28 14:23:10 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1992","creates todo with completed status set to true @smoke","firefox","Thu May 28 14:22:52 UTC 2026","passed","Thu May 28 14:22:54 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1987","accepts unicode characters in title @smoke","firefox","Thu May 28 14:22:50 UTC 2026","passed","Thu May 28 14:22:52 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1572","fails when title is null @smoke","chromium","Thu May 28 14:22:13 UTC 2026","passed","Thu May 28 14:22:15 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2089","accepts unicode characters in title @smoke","chromium","Thu May 28 14:22:23 UTC 2026","passed","Thu May 28 14:22:25 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1504","fails when title is null @smoke","firefox","Thu May 28 14:22:41 UTC 2026","passed","Thu May 28 14:22:43 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1988","creates todo with completed status set to true @smoke","webkit","Thu May 28 14:23:19 UTC 2026","passed","Thu May 28 14:23:21 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1972","accepts very long title @smoke","firefox","Thu May 28 14:22:46 UTC 2026","passed","Thu May 28 14:22:48 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","3194","returns list of all user todos @smoke","chromium","Thu May 28 14:22:27 UTC 2026","passed","Thu May 28 14:22:30 UTC 2026","Todos API > GET /api/todos","api/todos.spec.ts","",""
"","1565","fails when title is missing @smoke","firefox","Thu May 28 14:22:38 UTC 2026","passed","Thu May 28 14:22:40 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1740","fails when title is empty string @smoke","chromium","Thu May 28 14:22:12 UTC 2026","passed","Thu May 28 14:22:13 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2581","updates todo and reflect changes in full list @smoke","webkit","Thu May 28 14:23:23 UTC 2026","passed","Thu May 28 14:23:26 UTC 2026","Todos API > PUT /api/todos/:id","api/todos.spec.ts","",""
"","2205","returns list of all user todos @smoke","firefox","Thu May 28 14:22:54 UTC 2026","passed","Thu May 28 14:22:56 UTC 2026","Todos API > GET /api/todos","api/todos.spec.ts","",""
"","1483","fails when whitespace-only title is sent @smoke","chromium","Thu May 28 14:22:15 UTC 2026","passed","Thu May 28 14:22:16 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1683","fails when title is missing @smoke","chromium","Thu May 28 14:22:10 UTC 2026","passed","Thu May 28 14:22:12 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2080","accepts special characters in title @smoke","firefox","Thu May 28 14:22:48 UTC 2026","passed","Thu May 28 14:22:50 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2684","creates todo with valid data @smoke","chromium","Thu May 28 14:22:07 UTC 2026","passed","Thu May 28 14:22:10 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2363","removes specific todo of a user @smoke","firefox","Thu May 28 14:22:59 UTC 2026","passed","Thu May 28 14:23:01 UTC 2026","Todos API > DELETE /api/todos/:id","api/todos.spec.ts","",""
"","2253","removes specific todo of a user @smoke","webkit","Thu May 28 14:23:26 UTC 2026","passed","Thu May 28 14:23:28 UTC 2026","Todos API > DELETE /api/todos/:id","api/todos.spec.ts","",""
"","2093","accepts special characters in title @smoke","webkit","Thu May 28 14:23:15 UTC 2026","passed","Thu May 28 14:23:17 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1977","creates todo with completed status set to true @smoke","chromium","Thu May 28 14:22:25 UTC 2026","passed","Thu May 28 14:22:27 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2235","removes specific todo of a user @smoke","chromium","Thu May 28 14:22:33 UTC 2026","passed","Thu May 28 14:22:35 UTC 2026","Todos API > DELETE /api/todos/:id","api/todos.spec.ts","",""
"","1488","fails when title is empty string @smoke","firefox","Thu May 28 14:22:40 UTC 2026","passed","Thu May 28 14:22:41 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1973","accepts unicode characters in title @smoke","webkit","Thu May 28 14:23:17 UTC 2026","passed","Thu May 28 14:23:19 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1812","fails when whitespace-only title is sent @smoke","firefox","Thu May 28 14:22:43 UTC 2026","passed","Thu May 28 14:22:45 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2301","creates todo with valid data @smoke","webkit","Thu May 28 14:23:02 UTC 2026","passed","Thu May 28 14:23:05 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1691","fails when title is empty string @smoke","webkit","Thu May 28 14:23:06 UTC 2026","passed","Thu May 28 14:23:08 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1503","fails when payload is empty @smoke","webkit","Thu May 28 14:23:11 UTC 2026","passed","Thu May 28 14:23:13 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1592","fails when title is missing @smoke","webkit","Thu May 28 14:23:05 UTC 2026","passed","Thu May 28 14:23:06 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","1496","fails when whitespace-only title is sent @smoke","webkit","Thu May 28 14:23:10 UTC 2026","passed","Thu May 28 14:23:11 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2625","updates todo and reflect changes in full list @smoke","chromium","Thu May 28 14:22:30 UTC 2026","passed","Thu May 28 14:22:33 UTC 2026","Todos API > PUT /api/todos/:id","api/todos.spec.ts","",""
"","2207","returns list of all user todos @smoke","webkit","Thu May 28 14:23:21 UTC 2026","passed","Thu May 28 14:23:23 UTC 2026","Todos API > GET /api/todos","api/todos.spec.ts","",""
"","2591","updates todo and reflect changes in full list @smoke","firefox","Thu May 28 14:22:56 UTC 2026","passed","Thu May 28 14:22:59 UTC 2026","Todos API > PUT /api/todos/:id","api/todos.spec.ts","",""
